s_city_id,s_city,s_lat,s_lon,s_pop,s_country,s_Volume,e_city_id,e_City,e_lat,e_lon,e_pop,e_country,e_vol
19,Haifa,41.9786,-87.9047,639150,Israel,400017,19,Lanzhou,40.6397,-73.7789,2282609,China,1
20,Haifa,40.7772,-73.8726,639150,Israel,400017,20,L'Aquila,41.9786,-87.9047,62201.5,Italy,1
21,Haifa,37.8044,-122.2708,639150,Israel,400017,21,Larache,47.6097,-122.3331,114688,Morocco,1
22,Haifa,32.7767,-96.797,639150,Israel,400017,22,Le Mans,40.7772,-73.8726,143392.5,France,1
23,Ulaanbaatar,37.8044,-122.2708,827306,Mongolia,645321,23,Elkhart,32.7767,-96.797,100295,United States of America,1
24,Ulaanbaatar,40.7772,-73.8726,827306,Mongolia,645321,24,Encarnacion,40.6397,-73.7789,251813.5,Paraguay,1
25,Ulaanbaatar,37.7833,-122.4167,827306,Mongolia,645321,25,Erechim,47.6097,-122.3331,85365.5,Brazil,1
26,Ulaanbaatar,40.75,-111.8833,827306,Mongolia,645321,26,Everett,41.9786,-87.9047,291948,United States of America,1
27,Ulaanbaatar,32.7767,-96.797,827306,Mongolia,645321,27,Exeter,40.75,-111.8833,108242,United Kingdom,1
28,Ulaanbaatar,40.6397,-73.7789,827306,Mongolia,645321,28,Faisalabad,40.7772,-73.8726,2561797.5,Pakistan,1
29,Ulaanbaatar,32.7767,-96.797,827306,Mongolia,645321,29,Fargo,39.7392,-104.9903,127472.5,United States of America,1
30,Ulaanbaatar,39.7392,-104.9903,827306,Mongolia,645321,30,Fayetteville,25.7753,-80.2089,108267.5,United States of America,1
31,Ulaanbaatar,40.75,-111.8833,827306,Mongolia,645321,31,Florianopolis,32.7767,-96.797,568783,Brazil,1
32,Ulaanbaatar,40.7772,-73.8726,827306,Mongolia,645321,32,Fort Pierce,40.6397,-73.7789,132984,United States of America,1
33,Ulaanbaatar,37.8044,-122.2708,827306,Mongolia,645321,33,Fort Wayne,32.7767,-96.797,264793,United States of America,1
34,Ulaanbaatar,40.6397,-73.7789,827306,Mongolia,645321,34,Fresno,25.7753,-80.2089,540768,United States of America,1
35,Ulaanbaatar,41.9786,-87.9047,827306,Mongolia,645321,35,Ft. Myers,32.7767,-96.797,120810.5,United States of America,1
36,Ulaanbaatar,41.9786,-87.9047,827306,Mongolia,645321,36,Fukui,37.7833,-122.4167,241288.5,Japan,1
37,Ulaanbaatar,40.7772,-73.8726,827306,Mongolia,645321,37,Furth,39.7392,-104.9903,174934.5,Germany,1
38,Ulaanbaatar,41.9786,-87.9047,827306,Mongolia,645321,38,G盲vle,40.75,-111.8833,68235.5,Sweden,1
39,Ulaanbaatar,40.6397,-73.7789,827306,Mongolia,645321,39,Galway,40.7772,-73.8726,73140,Ireland,1
40,Ulaanbaatar,40.75,-111.8833,827306,Mongolia,645321,40,Ganca,47.6097,-122.3331,301699.5,Azerbaijan,1
41,Ulaanbaatar,40.7772,-73.8726,827306,Mongolia,645321,41,Ganzhou,40.6397,-73.7789,1216134.5,China,1
42,Ulaanbaatar,39.7392,-104.9903,827306,Mongolia,645321,42,Garissa,47.6097,-122.3331,65948,Kenya,1
43,Johannesburg,40.7772,-73.8726,2730734.5,South Africa,666365,43,Chengdu,25.7753,-80.2089,4036718.5,China,1
44,Johannesburg,47.6097,-122.3331,2730734.5,South Africa,666365,44,Chester,37.7833,-122.4167,83285.5,United Kingdom,1
45,Johannesburg,40.6397,-73.7789,2730734.5,South Africa,666365,45,Chihuahua,40.7772,-73.8726,750633.5,Mexico,1
46,Johannesburg,40.75,-111.8833,2730734.5,South Africa,666365,46,Chita,37.7833,-122.4167,293153.5,Russia,1
47,Johannesburg,25.7753,-80.2089,2730734.5,South Africa,666365,47,Chlef,39.7392,-104.9903,449167,Algeria,1
48,Johannesburg,40.7772,-73.8726,2730734.5,South Africa,666365,48,Daytona Beach,40.6397,-73.7789,140775.5,United States of America,1
49,Johannesburg,32.7767,-96.797,2730734.5,South Africa,666365,49,Denton,25.7753,-80.2089,138952.5,United States of America,1
50,Johannesburg,40.6397,-73.7789,2730734.5,South Africa,666365,50,Detroit,40.7772,-73.8726,2526135,United States of America,1
51,Johannesburg,37.7833,-122.4167,2730734.5,South Africa,666365,51,Divinopolis,47.6097,-122.3331,181457,Brazil,1
